355041	Happy birthday, Muiriel!
953606*	I shouldn't have stayed up all night.
708138*	I don't have a computer at home.
419628*	I've put on weight recently.
1527903	It's great that my nephew and niece came over to play, but they're so annoying making such a racket running all over the house all day that I can't stand it.
2592911	I have horrible morning sickness. I can't eat anything.
27373	A cup of coffee cleared my head.
1527886	You're one stubbornly indecisive guy, you know that? If you have something to say to me, say it now, and clearly.
42880*	Count me in.
1528233	When I lifted a potted plant in my garden, there were swarms of little insects crawling underneath, and I instinctively let out a shriek.
1148936*	I have to look for my pen.
1153265	Because of yesterday's heavy snow, the ground is very slippery. As soon as I stepped outside, I slipped and fell on my bottom.
1153630	I was looking forward to seeing a scenic view of Mt. Fuji, but unfortunately it was completely hidden behind clouds.
1527887	I have absolutely no clue what happened after I got drunk. Why is there some old dude sleeping in my room?
2673899	Due to the typhoon, the train schedule was disturbed and all the trains were jam-packed.
1527759	This girl is still in elementary school, yet she has a wine-tasting master license. I didn't know one could get qualified without even drinking alcohol.
305099*	He stopped to talk to them.
34598	Billy is good at sports.
391969	Nobody knows where he has escaped to.
2700782	Even though I plucked up courage to invite Mary to a film, she stood me up.
1528020	The racket slipped from my hands and broke itself on the court when I made the serve.
1495430	I don't have much interest in sports games like soccer or baseball, but I do like seeing weird or outstanding plays in them.
1528230	I was going to take a picture of a squirrel I found in the park, but it was too nimble, and all my shots were no good.
292286	How fluently he speaks English!
2746973	Motorcycles are great. They can easily get through even in heavy traffic.
1528074	Penguins look strange when they waddle on land, but the way they swim so smoothly through the water is pretty cool.
1527795	Takashi said he wasn't afraid of ghosts, but when he heard some sounds from the supposedly empty second floor, he quickly scrambled away.
1491650	He just gave us a map and sprinted ahead. We who were left behind had to go on with just the map to rely on.
263029*	We are going to visit our aunt next Sunday.
1495454	Even though our house was on TV, I'd prefer it if you wouldn't just barge in our garden and take pictures.
1528282	Emiko never thinks about others' feelings whenever she says things too bluntly, so everyone hates her.
6616091	Don't sniffle, please quickly blow your nose.
1155872*	Tom scrubbed his feet.
1155884*	Tom set a trap.
1155885*	Tom set me up.
887502*	She wakes him up every day at 6:30.
33151*	It's close to ten o'clock. It's about time we went to bed.
41710*	We'd better go home now.
1156671*	This clock is broken.
687550*	Where are the lions and tigers?
272970*	My teacher told me to read as much as I could.
272970*	My teacher told me to read as much as I could.
1528239	You mistook the salt for sugar and put it in your coffee?! How careless can you get?
6040010	The unkempt girl was completely unable to keep things neat and tidy.
2673809	I think that there are more people in the countryside with a big heart than there are in the city.
35790	Have you ever heard of Nessie?
289441*	He's a carbon copy of his father.
289441*	He's a carbon copy of his father.
491398*	I like Tom because he's honest.
256624*	I am learning two foreign languages.
37856*	I'm so hungry that I could eat a horse.
267712*	We had better leave her alone for a few minutes.
267712*	We had better leave her alone for a few minutes.
69003*	Do you know him?
953786*	I'd love to hang out with you this weekend.
1158673*	Is there anyone who wants some more pie?
388282*	May I borrow your car?
592855	Speaking of Mr. Tanaka, have you seen him lately?
1158686	Jimmy begged me to take him to the zoo.
1158790*	I left my gloves in the library.
299361	He is seriously ill and unlikely to recover.
2673785	Isn't "Sloppy Joe" someone's name?
716324	Life is too short to worry about things like that.
265501*	Do you know how to drive a car?
1159654*	Do you know how to drive?
1159212*	Can you use a computer?
1159212*	Can you use a computer?
65083*	Did your uncle let you drive his car?
299057*	He started washing his car.
388670	Those shoes go well with this white skirt.
526421*	I had a fight with my older brother yesterday.
526421*	I had a fight with my older brother yesterday.
736614*	The bicycle is mine.
433725*	Do I have to do it over again?
52268*	Do I have to do it right away?
25275*	Do we have anything I can snack on?
25275*	Do we have anything I can snack on?
38057*	By the way, do you play the violin?
53428*	Can I ride this horse for a while?
272279*	Can I speak to the person in charge?
26010*	Can you give me a lift to the station?
21633	When she saw that they had no schools, she started one.
1029100*	Tom doesn't know when Mary will leave Boston.
24588*	Can you please tell me what time the train leaves?
29659*	Can you tell me how to get to Lincoln Center?
435802*	Could I please have one more can of beer?
31250*	Could you give me a few more minutes?
25989*	Could you give me a lift to the train station?
433719*	Could you please move out of my way?
433596*	Could you please repeat what you just said?
467303*	Could you please tell me why you love her?
50888*	Could you tell me how to get there?
188879	駅へはどう行ったらいいか教えていただけませんか。
252063*	Did anyone call me while I was out?
52418*	Excuse me, but may I use your telephone?
16314*	You'll never be alone.
72425*	My airport shuttle bus leaves at six o'clock.
240427*	There was a large crowd in the park.
302423*	He bit off more than he could chew.
448878	Bill is two years older than I am.
682267	The universe is endless.
388346*	If you find a mistake, please leave a comment.
243200*	I am free till 6 o'clock this evening.
33249	I hear that Bob and Lucy have broken up.
36443*	He asked me what I had been doing.
1687503*	I'm hungry because I haven't had lunch.
259470*	I am hungry because I did not eat lunch.
275676	How far is it from Osaka to Kyoto?
400429	Our English teacher is both strict and kind.
46065*	I had no choice but to accept the offer.
246693*	It began to rain before I got home.
254902*	I always take a bath before going to bed.
1163546*	I'm really looking forward to seeing you.
1093664*	Tom has had a bad week.
1093664*	Tom has had a bad week.
1163545*	I was bitten by a lot of insects in the forest.
281642*	How do you say "thank you" in Japanese?
1163544*	It doesn't matter to me if you take that book.
18194*	Please tell me how to get to the airport.
252398*	I am not about to pay ten dollars.
1163540*	I have absolutely no intention of paying ten dollars.
3303222*	Last night I had a strange dream.
55617*	This is my bicycle.
1163483*	Tom got paint on his shirt while he was painting the fence.
316301*	She advised him not to use too much sugar.
394114	We want you to behave yourself during meals.
394114	We want you to behave yourself during meals.
255810*	I made up my mind to study harder.
260254*	I congratulated him on the birth of his son.
400147*	He couldn't sleep because of the noise outside his window.
254438*	I had never seen her before that time.
257053*	I do not agree with you at all.
255850*	I hit on a good idea.
1040592*	Tom is caught between a rock and a hard place.
1040592*	Tom is caught between a rock and a hard place.
1040592*	Tom is caught between a rock and a hard place.
31948*	Mary spread the big map on the table.
36172	Nancy is a hard girl for me to deal with.
250508*	There is a lake in front of my house.
43018*	That will save me a lot of trouble.
25970*	There is a bank in front of the station.
308827*	Please say hello to her.
254241*	I could not sleep because of the noise.
1163882*	Tom managed a small bar near Boston for quite a long time.
248196*	I finally found the solution to the problem.
58628*	Would you mind mailing this letter for me?
1163881*	I don't understand what he wants me to do.
418874*	A long time ago, there was a bridge here.
1163880*	I found the gloves that were under the chair.
259910*	I've got a bit of an ache in my back.
953836*	I'm not going to see you again.
541442*	Won't you come in and have a cup of tea?
398875*	He often helps others.
322496*	May I have a pillow and a blanket, please?
30968	Hello. This is Joe Carlton. May I speak to Michael?
272491*	I lost my ticket. What should I do?
1164059*	He made up his mind to become a pilot.
259150*	I was able to answer all the questions.
1134088	Junko is a beautiful girl.
290827*	He applied for the job and got it.
404679	He did everything he could to get the prize.
242227*	I got a lot of mail this morning.
3777934*	I'd like a glass of wine.
252318*	I believe he is not guilty of the crime.
321760*	I wish I were as smart as you are.
321760*	I wish I were as smart as you are.
244499*	I worked hard all day long yesterday.
1991995*	I'm looking forward to the summer break.
24033*	My wife is preparing dinner right now.
308922*	I called her, but the line was busy.
242994*	I am going to apply for a visa today.
278206*	Birds build nests.
53755	Jane gave me the same present as Wendy did.
264109*	Please write to me once in a while.
37052*	Tom took his girlfriend out on Saturday night.
257357*	I went for a walk in the park.
32958	According to Mike, Mac bought a new car.
248671*	We took a back road to avoid the heavy traffic.
25435	Tastes in music vary from person to person.
283807*	I didn't know he had decided to leave his job.
309369*	Her car is two years old.
952054	One weekend, all of the hotels in the city were full.
258833*	I didn't know about it until I read the paper.
311232*	I don't think she is fit for the job.
53161	Jack and Betty have been going steady for a month.
257309*	I'm getting along with my mother-in-law very well.
257309*	I'm getting along with my mother-in-law very well.
543707*	He's rich, but he lives like a beggar.
314230*	She gave me a nice pair of shoes.
39398	I don't like such sports as tennis and golf.
50372*	I wish I had bought a ticket for the concert.
37051*	Tom told us that he had a headache.
293925*	He suggested that we go for a swim.
388591	She succeeded in crossing the Pacific Ocean by boat.
53160	Who was at the party beside Jack and Mary?
247806*	We feed our dog three times a day.
250156*	I don't like the way he speaks to me.
248442*	We went out in spite of the rain.
254439*	I had met her many times before then.
2764134*	It's extremely cold today.
52715	John can not play the guitar.
485498	Mr. Wright speaks Japanese like a native speaker.
276319*	Do you know who invented the microscope?
272120*	I used to go to church on Sunday.
313840*	She learned to ride a bicycle last year.
313840*	She learned to ride a bicycle last year.
283047*	I do hope that he will get well soon.
38479	I want to speak to Mr. Sato, please.
30906*	You may go home if you want to.
879079	Yep.
477086	Yes.
388590	She was able to cross the Pacific Ocean by boat.
32008*	Mary goes to that restaurant for lunch every other day.
32008*	Mary goes to that restaurant for lunch every other day.
856805*	She helped her younger brother with his homework.
16590*	Did you watch the game?
68134*	Do you know if he has a girlfriend?
297305*	He wouldn't allow me to drive his car.
244740*	I went to bed at twelve last night.
17569*	I have a nice present to give you.
807094*	Glasses and dishes were broken.
807094*	Glasses and dishes were broken.
36195	Nancy had never seen a giant panda before.
388280*	It cost a lot of money to repair the car.
272359*	A baby is sleeping in the cradle.
288441*	He will be back in a day or two.
454777*	I won't bother you.
247125*	I'd like you to look after my dog.
388470*	I gave my seat to the old lady.
324828	Who can speak English better, Yoko or Yumi?
260798*	I don't think he is fit for the job.
310032*	I can't figure out what she really wants.
258489*	I had a hard time making both ends meet.
295274*	I think he makes money by selling fish.
413019*	My older brother did all the preparation for us.
503470*	She put lots of sugar in the coffee.
257468*	I don't feel like going out right now.
257468*	I don't feel like going out right now.
682504*	The x-ray showed two broken fingers.
287126*	I almost forgot that it was his birthday.
953314*	He is lying through his teeth.
953314*	He is lying through his teeth.
63858*	I have a lot of things to tell you.
244883*	I spoke to him on the phone last night.
17236*	You should pay more attention to what you say.
318964*	My father always speaks in a very loud voice.
887600*	She wouldn't even speak to him.
67883*	They seem to be in love with each other.
954336*	The best cookies I've ever eaten are the ones that your mother baked for me.
257446*	I feel like taking a bath now.
388283*	How about stopping the car and taking a rest?
388314	Because of her, he lived a miserable life.
278063	That girl who has long hair is Judy.
259479*	I bought a loaf of bread for breakfast.
53771	Jane said that it was time to go home.
1024888*	Tom is rarely late.
31869*	Mary is going to have a baby next month.
1167424*	I need to buy new skis.
1167423*	He was exhausted when he got home.
1167425*	That's exactly what I thought.
1167427*	Today is election day in Poland.
260073*	I expect him to take care of my younger brother.
1167432*	What did she buy at that store?
260113*	I am sure that he is an honest man.
681728*	I found the missing piece of your necklace.
404715*	He doesn't work as hard as he used to.
255048*	I am very tired from the hard work.
1167467	We still have more than halfway to go to get to the top of the mountain. Are you really already exhausted?
2673618	The runner collapsed as he reached the finish line. Had he reached the limits of the human body?
252982*	I am too tired to run.
20901*	I didn't think you were going to make it.
62117*	It is a nice view from here.
1167464*	I just can't stand this hot weather anymore.
1167498*	The weather's bad, isn't it?
1167537*	Tom is a pretty good snowboarder.
255507*	I don't usually have to work on Sundays.
1167577*	I asked my teacher what I should do next.
309890	I was moved to tears by her speech.
28951*	I did some work after breakfast and went out.
1167582*	He gets his hair cut once a month.
1167589*	He gets a haircut once a month.
1167590*	I want to buy some ski boots.
1167595*	Before you go to visit him, you should make sure he's at home.
430200*	I think he's right.
325081*	I'd like to see you again next week.
30827*	If I were you, I would trust her.
313538*	She got up at seven in the morning.
402776	I don't know if George is coming or not.
29766*	I fell asleep while listening to the radio.
28950*	I don't think I'm cut out for city life.
24870*	Just tell me what you'd like me to do.
32212*	Would you like a cup of milk?
32212*	Would you like a cup of milk?
18436*	I ran across an old friend near the bank.
18436*	I ran across an old friend near the bank.
321504*	Would you please take my picture?
503781*	There was absolutely no furniture in that room.
259911*	I don't like being asked to go shopping.
259473*	I don't shampoo my hair in the morning.
1428056*	I don't wash my hair in the morning.
259473*	I don't shampoo my hair in the morning.
272699*	I forgot that I met her last month.
32955	What did you give Mike on his birthday?
62674	Kate drinks a lot of milk every day.
1972649*	Show me.
414632	I often used to play tennis with him on Sundays.
303288*	He is not as tall as his father.
265076*	Actually, I didn't know anything about those plans.
37921*	Where would you like to go?
467360*	You shouldn't tell him anything about your girlfriend.
317052*	She realized that she had better tell the truth.
32954	Mike could not keep up with his class.
387410*	People love to check out each other's houses.
50469*	I want to talk to him about it.
283115*	He designed the car.
294574*	He can sing better than any of us.
402531*	Do you think tomorrow will be a nice day?
57624*	This road goes to the park.
402038*	I'm going to talk to Tom when he comes home.
65651	Wendy was not always interested in Japanese festivals.
65651	Wendy was not always interested in Japanese festivals.
388755*	I haven't received any notice that she's coming.
388755*	I haven't received any notice that she's coming.
255501*	I felt refreshed after a swim in the pool.
286081*	I didn't quite make out what he said.
410513*	She tried to squeeze the juice from the orange.
258771*	I bought lace curtains for my bedroom window.
283426*	No matter what he says, don't trust him.
1103848*	Does Tom always carry a gun?
1159239*	It's up to you to decide what to do.
326508*	Have you ever eaten Japanese food?
467688*	He doesn't have any friends to play with.
257944*	I saw my sister tear up the letter.
1396373	English is like a world-wide common language.
255146*	I can read German, but I can't speak it.
2474*	I'd rather be a bird than a fish.
2474*	I'd rather be a bird than a fish.
262476*	I wish I had a room of my own.
53840	Jane and Mary are always competing for attention.
261019*	I asked her if she had been to Mexico.
541658*	I live near her house, but I seldom see her.
314562*	She goes to a school for the deaf.
238772*	I'd like you to have a blood test.
277768*	When do you usually get up?
61773*	You may stay here if you want to.
39658	Damon showed me his stamp album.
254236	I was greatly impressed by the speech.
45202*	I am very pleased to hear the news.
32545	Mac is my friend. He likes dogs very much.
259945*	I don't know for certain when he will come.
4538209*	I'm busy, so I can't help.
276859	All the boys fell in love with Julia.
240658*	You can stay as long as you like.
400213*	I have nothing to do with their troubles.
460359*	When he was young, he was a hard worker.
297245*	The last time when I saw him, he was quite well.
261862*	I go to work every day by train.
1025012*	Tom is hard to please.
31868*	Mary took out the eggs one by one.
370553*	Cherries are red.
492629*	She spends a lot of money on books.
242522*	I am supposed to meet her at three this afternoon.
274752*	Don't look down on others.
312084	She picked out a pink shirt for me to try on.
34441*	We ordered pink, but we received blue.
34442*	Who is the girl in the pink dress?
404100*	When I got to school, the race had already finished.
404100*	When I got to school, the race had already finished.
68529*	I can't get that song out of my head.
34528	Bill often plays with toys by himself.
803271	He visited the coast of South America in 1499.
262007*	I am a member of the baseball team.
480328*	If he's fluent in English, I'll hire him.
953386*	I can't figure out how to open this suitcase.
37103*	Tom feels that his team will win the game.
261254*	I don't know the reason for her absence.
35395*	Let's go by train instead of by bus.
3469316	It's dangerous to play in the street!
240666*	You may talk as much as you like.
954516*	What do you consider your greatest achievement?
55765*	I don't like this one.
15981*	I think you'd better go on a diet.
476174	As usual, Mike was late for the meeting this afternoon.
19286	Will you tell me the way to Kyoto Station?
316062*	She has two thousand books.
45850*	I did the washing while the baby was sleeping.
256858*	I felt a sudden pain in my side.
255291*	I can't play tennis as well as Tom.
1954953*	I can't take any more of this.
387565*	We know that she was born in Canada.
467966*	You seem to have mistaken me for my older brother.
258795	I am very pleased with my new house.
257746*	I caught a cold and was in bed yesterday.
487901*	I could swim well when I was a child.
59347*	This word has a double meaning.
29571	Lucy would often play the piano after dinner.
28998	I doubt whether it is true or not.
256642*	I am going to the theater on the corner.
419645*	There's been a lot of rain this year.
242211*	I feel like going for a walk this morning.
388751*	I have a feeling that she will come today.
281866*	What do you like to do on Sundays?
281866*	What do you like to do on Sundays?
253752*	I have read this book before.
1023918*	Tom wasn't ready to die.
257912*	I still have a lot of work to do.
257912*	I still have a lot of work to do.
62728	Kate wants to finish her homework by ten.
5333505	I walk to school in 30 minutes.
59292*	He won't come in a rain like this.
321597*	I fell asleep before my father came home.
1026173*	Tom doesn't have a bicycle.
64858*	The patrolman motioned me to pull over.
64858*	The patrolman motioned me to pull over.
255313	I don't believe Naomi. I think she's lying.
262436*	I have a lot of friends to help me.
20453*	I will see him after I get back.
51420*	Excuse me, but would you please tell me the way to the post office?
274452*	I went for a walk with my son.
258623*	I want to be a pilot in the future.
315311*	She grew up to be a beautiful lady.
257447*	I am busy now and can't play with you.
32353	Maria spends a lot of money on clothes.
258645*	I crossed the river by boat.
316272*	He loved her very much.
53129	Jack keeps a cat and a parrot at home.
48968*	There is a very old temple in the town.
539606	At first, I mistook him for your brother.
504522*	My father plans to go overseas next week.
261411*	I am tired and I want to go to bed.
25999*	Will you tell me the way to the station?
66397*	I don't know when I'll get around to visiting you.
387444*	There are still a lot of dishes on the table.
246478*	I wish I could go to the concert.
283684*	I don't care whether he agrees or not.
253499*	I like this coat. May I try it on?
253499*	I like this coat. May I try it on?
292237*	He turned a somersault.
244803*	We watched the baseball game on TV last night.
1126373*	I can't get there in an hour.
308010*	I heard that she came here.
71193*	Who is it that you want to talk to?
255275*	I don't know when Tom will leave Japan.
25258*	I smell something burning.
301916	He has been in Tokyo for a year.
272174*	She used to be a very shy girl.
284687*	He couldn't understand the sentence.
1040659*	Tom doesn't know a whole lot about racing.
240475*	There is a public telephone on that corner.
402992*	I hear that his father is in another country.
1029603*	Tom attempted to persuade Mary to go to church with him.
41118*	We found a nail stuck in the tire.
440083*	Give me a toothpick.
63279*	I didn't know you were such a good cook.
503520*	What time do you close?
417010*	It's been a while since we last met.
254800*	I have plenty of time to do that.
244159*	I'm looking for a gift for my wife.
388285*	You must be careful when you drive a car.
64446	I am sorry to have taken up your valuable time.
40046*	Be quiet for a moment.
261289*	I had to take care of her baby.
680049*	The country's economy is about to collapse.
990568	Who can translate the difference between noise and sound?
2510837*	Please turn off the lights.
2510837*	Please turn off the lights.
277938*	The audience was deeply affected.
314173*	She asked me if I knew Tom's address.
252714*	I wish I had been there with you.
43688*	I found it easy to answer the question.
33650	Paul made a lot of money last year.
35264*	I'd rather walk than take a bus.
423876	Ken didn't have the courage to try it again.
391967*	I'll be at home the next time she comes.
66262*	Did you speak at all?
69842*	Which CD do you want to listen to?
391600	It rained as soon as he got home.
5168063	He just barely made the last train.
241508*	I have a bad pain in my lower back.
476173*	His lack of technical knowledge kept him from being promoted.
22118*	Make yourselves comfortable.
261412*	I was too tired to go on working.
37221*	Tom was sitting in the front of the bus.
37221*	Tom was sitting in the front of the bus.
464656	She came to Tokyo when she was eighteen years old.
953726*	I wish I could figure out how to control my appetite.
256156*	I am a member of the sales department.
35727	Is there a Percy in your class?
34900*	Playing the piano is her favorite pastime.
314066*	She told us not to make a noise.
423875	Ken didn't have the nerve to try it again.
2669743*	Who's playing the guitar?
541979*	I couldn't see any stars in the sky.
387416*	That kind of thing can't be found just anywhere.
460928*	We took him to the hospital right away.
17468*	I'll teach you how to drive a car.
63158	Carol will have left for London by eight tomorrow.
64991*	I don't see your point.
67668*	I was surprised because it was very big.
260313*	I asked him not to drive so fast.
416973*	If you hadn't had advice, you'd have failed.
284079*	He has been in Japan for three years.
1293152*	Have you finished your preparations for the trip?
1293152*	Have you finished your preparations for the trip?
1293152*	Have you finished your preparations for the trip?
253382*	I got a letter from an old friend yesterday.
244818*	When did you go to bed last night?
467668*	He came back home three days later.
37378	Tom and Frank are good friends.
38347*	How do you make a box?
953237*	Do you think that eating with your family is important?
953237*	Do you think that eating with your family is important?
388400*	I started liking Mary as soon as I met her.
266956	Spring is the best season to visit Kyoto.
315022*	She stayed there for a moment.
266622*	My uncle bought me this book.
387563*	We can depend on her to help us.
51671	All the signs are that she is getting better.
283929*	I don't know exactly when he will arrive.
255272*	I don't know how to buy a ticket.
255272*	I don't know how to buy a ticket.
30898*	If I had money, I could buy it.
1024548*	Tom lives on the third floor of this apartment building.
41885*	I don't know what to open it with.
70475*	I bought a pen for your birthday present.
40205	Prince Charles will be the next king of England.
270736	If it were not for water, no living things could live.
680905	They're expressing their love by hugging.
680905	They're expressing their love by hugging.
258939*	I need to study math.
258939*	I need to study math.
257209*	I go to the movies once a month.
257209*	I go to the movies once a month.
43369*	The old man begged me for money.
6678325	If you hadn't had my advice, you would've failed.
302502*	He showed me the manuscript of his new play.
296685*	He likes coffee without sugar.
1423299*	In Japan, the new school year begins in April.
279812	How do I get to your office from Tokyo Station?
570266*	Do you have anything hot to drink?
56161*	This is the way he learned English.
1173606*	He was heartbroken.
301704*	He likes to work in the garden.
3018246	I am interested in creating my own website.
321569*	I offered to help her with her homework.
69208*	Do you have any money?
69208*	Do you have any money?
254779*	I can't explain the difference between those two.
1204703*	Tom came on Monday and went back home the next day.
20931*	Tourism generated many new jobs.
34313*	Give me a bottle of wine.
53746	Jane has been acting in films since she was eleven.
402973*	I tried to write down everything he said.
402491*	You don't have a fever.
302443*	He is a friendly person.
388052*	She came here as soon as she heard it.
1174255*	She pointed at him.
252597*	I have only five thousand yen.
657403*	I am Japanese.
1174276*	I moved last month.
1174303*	I've been anticipating his arrival.
1174297	Since my nephew was still young, he was let off the hook.
47671*	I don't remember getting paid for the work.
308461*	I couldn't understand why she frowned at him.
308461*	I couldn't understand why she frowned at him.
31181*	Never be this late again.
320584*	I write to my mother once a month.
320584*	I write to my mother once a month.
260315*	I don't know anything about him at all.
314579*	She got on her bike and rode away.
6040013	You know, you're always in my heart.
308130*	I often hear her play the piano.
483681*	He wore a mask so no one would recognize him.
249750	I have a friend whose father is an animal doctor.
541060*	My cousin is a little older than I am.
23957*	What do you do in your free time?
249657*	I can do it in half the time.
303905*	He drinks a lot of milk every day.
25733*	Pass me the salt, will you?
295904*	He gets a haircut three times a month.
303792*	He read the book from cover to cover.
303792*	He read the book from cover to cover.
297342*	He gave us quite a lot of trouble.
263962*	Come and see me when you have time.
32036*	Mary was wearing a black sweater when I met her.
255070*	I avoid traveling by air, if I can help it.
247593	I do not know the woman talking to our teacher.
468045*	He is not as smart as his older brother.
279242*	Not having a telephone is an inconvenience.
525733*	The children are sleeping. Please don't be so noisy.
293316	He used to bully his friends.
59138*	This work is by no means easy.
1096336*	Washing the car took longer than we expected.
1556956	What should I do? I burned the pot!
1556954	I'd like to eat cheesecake to my heart's content at The Cheesecake Factory.
5150009	Several years ago, a bleached body was discovered in a vacant plot in the neighbourhood.
2673567	Even tough it's such a big garden, it would be wasted if we let it get overrun with weeds.
4287310*	It's the book you are looking for.
62456	Ken makes it a rule to get up early.
314675*	She abandoned her children.
315599	She abandoned her son to his fate.
312617	She abandoned herself to drinking.
312945	She abandoned herself to pleasure.
294456*	He abandoned his family.
422958*	The doctor advised him to cut back on drinking.
272162*	There used to be a large park here.
305767	They abandoned the hill to enemy forces.
283173*	It is a pity that he died so young.
306480	They abandoned their country.
16825	You'll be able to drive a car in a few days.
238412	A slight cold prevented me from going to Ibusuki with my family.
58892*	You will be able to sing better next time.
288582*	He is able to speak five languages.
305686*	They are able to speak Spanish a little.
288348*	He is able to speak ten languages.
258024	I will abolish capital punishment.
315489	She abounds in good will.
288520*	He is about thirty.
292804*	He is about to leave for London.
247957*	We are about to leave here.
3311098*	We're about to leave here.
306850*	They are about to start.
71030*	I'm about to tell you the answer.
53203	I always thought that Shirley and Alan would get together.
253434*	I hung my coat in the hall closet.
302086	He is above all others in originality.
26195	She is above any of her classmates in speaking English.
1326067	His pride won't allow him to ask questions.
51932	Steve will get married to Nancy next week.
312192	She is above praise.
284267*	Will you let me know when he comes?
261687*	I asked my mother if breakfast was ready.
303533	He is above the ordinary type of student.
303533	He is above the ordinary type of student.
251995*	I don't want to burden you with my troubles.
1174737*	He ran away with the money.
53764	Jane may be playing tennis with my brother.
258217*	I don't have to apologize for what I said.
1177622*	Tom has a big problem.
1177623*	Tom has a bald spot.
1177623*	Tom has a bald spot.
18776*	I am looking forward to hearing from you soon.
313378	She absented herself from the lesson.
33264	I don't know when Bob came to Japan.
1174786*	He was absent from the meeting.
292229	He absents himself from any party she is likely to attend.
24357*	I was in London most of the summer.
25736*	He asked me to pass him the salt.
25736*	He asked me to pass him the salt.
292912*	He has absolutely no respect for other people's feelings.
248989*	We have absolutely nothing in common.
286905	You are absolutely right about his character.
17787*	I hope that you will get well soon.
17787*	I hope that you will get well soon.
252118*	I became a member of the club in 1980.
257111*	I don't quite know how it happened.
243211*	I have a reservation for three nights from tonight.
387426*	Please hand this in at the front desk.
295420	He abstained from alcohol.
295420	He abstained from alcohol.
281625*	It has been ten years since I left Japan.
257613*	I am going to watch TV this evening.
297959	He acceded to my proposal.
299052	He accelerated his car and overtook me.
316224	She was jealous when he talked to another girl.
260771	I will accept his request.
282742*	He will be here in half an hour.
261283*	I accepted her invitation.
308865	I asked her to marry me and she accepted.
254335*	I don't know how to spell the word.
65232	Ellen was so tired that she went to bed early.
289887*	He went to see her the other day.
289887*	He went to see her the other day.
387425*	He came even though I told him not to.
288864	He has access to the American Embassy.
291165	He has access to the stored information.
294514*	He accidentally hit his thumb with the hammer.
306322	They acclaimed her Queen.
2673550*	That's painfully true.
2673533*	That's very easy.
249803*	I didn't have the sense to do so.
1409659*	She changed her schedule to match his.
1148019	I ate at the side of my friend.
1078068	A is enough, but B is not enough.
1318768*	I lent my friend some money.
260433*	I asked him if he would help me.
261530*	I don't see eye to eye with my father.
252723*	I will accompany you.
256115	I will accomplish my purpose step by step.
324836	Yoko is the captain of the volleyball team.
302296*	He accomplished his mission.
302296*	He accomplished his mission.
291772	He accomplished it at last.
301292	He accomplished the great undertaking at last.
262254*	I always buy fresh vegetables instead of frozen ones.
396205*	If I were you, I'd follow his advice.
286279	You are accountable to me for his actions.
292379*	He accumulated a large fortune.
1556972	I wonder whether stone-roasted sweet potatoes are available overseas as well.
1180845	Daddy, you smell like you've been drinking.
1180848	Please boil the eggs just a little so that even the whites are not quite hard.
1527782	That dress looks good on you, but it makes you look pregnant. Oh, no, not the figure; I meant the design.
1180856	急いで高いところに逃げてください。
1180855	至急、高台に避難してください。
1190099*	Just saying you don't like fish because of the bones is not really a good reason for not liking fish.
1556971	Even though you like tomatoes, you dislike tomato juice, right?
1556974	How do you make a triangle-shaped onigiri? No matter how many times I try I can only make round onigiri.
1528246	Could you please not talk to me about cakes? I'm in the middle of a diet, and you're making me want one, you know!
388567	You might have mistaken Jane for her sister.
297264*	He is the last man I want to see.
295578	He accumulated his fortune by hard work.
263519*	I always get nervous just before a match.
263519*	I always get nervous just before a match.
303264	He has accumulated wealth.
290423	He accurately described what happened there.
388396*	Mary doesn't know what to say to him.
314763	She accused her husband of having been disloyal to her.
37024*	Tom usually goes to bed at ten-forty.
6678256	I could've done better if I'd had more time.
307335	They accused him of being in the classroom in order to cause trouble.
316229	She accused him of being inattentive to her.
254980*	I accused him of cheating.
316219*	She accused him of stealing her car.
4356514*	If I start eating potato chips, I can't stop.
308924*	I'm sure I saw her two years ago.
308197*	I had no idea of what she intended to do.
4356245	The best before date is 3 days past, but it's probably good, right?
298388*	He accused me of having stolen his watch.
256173*	I am interested in swimming.
314034*	She accused me of stealing her money.
306630	They accused the teacher of being too strict with the children.
316560*	She was too tired to go on working.
288503*	He has been in Japan for two years.
6396327	I'll help you as much as possible.
239072*	Buildings are much stronger now than they used to be.
321567*	I consider him to be an excellent teacher.
243244*	I have some work to do this evening.
542800	She cried until she ran out of tears.
28027*	I wish I had followed the doctor's advice.
259982*	I don't know what has happened to him.
256078*	I am accustomed to working hard.
400152*	I couldn't go out because of the snow.
293765*	He is accustomed to working hard.
21335*	I don't think any more students want to come.
288635	He achieved a throw of seventy meters.
314759	She achieved great success in her business.
302978	He achieved great success in life.
241919*	If I were rich, I would go abroad.
1556979	Nowadays you no longer hear popular songs that can be sung by men and women of all ages.
1182497	最近は老若男女が歌えるような歌謡曲を耳にすることもなくなった。
29978*	I don't see how you can eat that stuff.
61300*	I don't know how much this motorcycle is.
61300*	I don't know how much this motorcycle is.
254833	I acknowledge it to be true.
250883*	I am not accountable to you for my actions.
388569*	I'll never forget how kind you have been.
314734	She acknowledged his help in her book.
32921	Mike doesn't have to wash his mother's car today.
252263	I acknowledged that I want to do strange things.
26374*	What do you call this bird in English?
414062*	Would you mind if I sit at the same table?
314321*	She acknowledged that my statement was true.
1024856*	Tom is still uncertain about whether to go to college or not.
312121*	She acknowledged that she couldn't speak French.
